Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Type,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Location
MCP3021003W,180065216,Montgomery County Police,Injury Crash,12/30/2018 02:50:00 PM,,,,,PARKING LOT OF SEARS ROEBUCK   11255 NEW HAMPSHIRE AVE,,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,09EEA5D1-EC87-4D4C-AB85-5C2DB587D512,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED SERIOUS INJURY,NONE,39.04206333,-76.989115,"(39.04206333, -76.989115)"
MCP2116007V,180000627,Montgomery County Police,Injury Crash,01/04/2018 06:27:00 PM,Municipality,DUNDEE RD,Municipality,GUY CT,,ROCKVILLE,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,E7014161-D4A9-4475-928E-F03BC3E391EA,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.08753167,-77.18211167,"(39.08753167, -77.18211167)"
MCP28820023,170525535,Montgomery County Police,Injury Crash,08/18/2017 02:55:00 PM,,,,,PARKING LOT IN FRONT OF 19552 CRYSTAL ROCK DRIVE,,BICYCLIST,SINGLE VEHICLE,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,ED97011A-C539-43C8-8CE1-E640E8DCF638,BICYCLIST,Playing,INATTENTIVE,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.17810167,-77.26309833,"(39.17810167, -77.26309833)"
DM8374000Q,16023271,Takoma Park Police Depart,Injury Crash,05/10/2016 08:19:00 PM,Municipality,MAPLE AVE,Maryland (State),PHILADELPHIA AVE,,N/A,PEDESTRIAN,OTHER,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,N/A,N/A,36CD0868-4E7C-4A49-B677-0957FDFDC313,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.981335,-77.01154,"(38.981335, -77.01154)"
MCP3059003X,190044082,Montgomery County Police,Injury Crash,09/14/2019 07:26:00 PM,Maryland (State),GEORGIA AVE,County,ASPEN HILL RD,,N/A,"BICYCLIST, PEDESTRIAN",OTHER,CLEAR,DRY,DARK LIGHTS ON,N/A,NONE DETECTED,UNKNOWN,66C35216-EEFC-4E73-89D4-B93BCF8D546A,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,N/A,UNKNOWN,No,NO APPARENT INJURY,UNKNOWN,39.080315,-77.07443833,"(39.080315, -77.07443833)"
MCP32000027,200050155,Montgomery County Police,Injury Crash,12/21/2020 11:25:00 AM,County,OLD STAGE RD,County,OLD BRIDGE RD,,N/A,PEDESTRIAN,OTHER,FOGGY,WET,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,3D7A2C3E-2AD0-4A97-8ADC-CBF3F04F0185,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.05184575,-77.14570648,"(39.05184575, -77.14570648)"
MCP2356002R,230013949,Montgomery County Police,Injury Crash,03/22/2023 10:15:00 AM,Maryland (State),HUNGERFORD DR,Municipality,COLLEGE PKWY,,ROCKVILLE,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,917FCF9A-592B-4CD6-8A6E-23A2B90BF97F,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,OUTSIDE RIGHT OF WAY,N/A,N/A,Yes,POSSIBLE INJURY,N/A,39.1010152,-77.15471508,"(39.1010152, -77.15471508)"
MCP1475000Q,16015424,Montgomery County Police,Injury Crash,03/29/2016 06:00:00 PM,,,,,PARKING LOT OF 9659 LOST KNIFE ROAD,,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,UNKNOWN,5B9D77E5-AA15-4692-8600-B4C466C77A47,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,UNKNOWN,Yes,SUSPECTED MINOR INJURY,N/A,39.153467,-77.198422,"(39.153467, -77.198422)"
MCP2948002J,180033373,Montgomery County Police,Injury Crash,07/06/2018 04:30:00 PM,,,,,"PARKING LOT OF 2730 UNIVERSITY BOULEVARD, SILVER SPRING MARYLAND",,MACHINE OPERATOR/RIDER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,N/A,1F76CE5A-5066-45D9-9BA9-A735CAD6AAB7,MACHINE OPERATOR/RIDER,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,N/A,N/A,Unknown,POSSIBLE INJURY,N/A,39.03884333,-77.05577,"(39.03884333, -77.05577)"
MCP2756003L,200041458,Montgomery County Police,Injury Crash,10/20/2020 07:57:00 PM,Maryland (State),GEORGIA AVE,County,REEDIE DR,,N/A,PEDESTRIAN,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,6BB25EAB-0BAB-4A18-A556-8DEA4EFD3826,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.03897333,-77.0517,"(39.03897333, -77.0517)"
MCP1378012Q,220051521,Montgomery County Police,Injury Crash,11/21/2022 04:59:00 PM,County,FENTON ST,County,ELLSWORTH DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,38DB4DE4-6914-4A1F-BB11-C8009D24CEB8,PEDESTRIAN,Other,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,38.996625,-77.02502167,"(38.996625, -77.02502167)"
MCP28430020,230022852,Montgomery County Police,Injury Crash,05/12/2023 05:00:00 PM,County,STEDWICK RD,County,CAPEHART DR,,N/A,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,ED4FDEF9-DB94-4B09-8484-219559E2BDAB,PEDESTRIAN,Cross/Enter not at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,DARK CLOTHING,No,POSSIBLE INJURY,N/A,39.17096343,-77.21288113,"(39.17096343, -77.21288113)"
MCP2546001V,16047005,Montgomery County Police,Property Damage Crash,09/13/2016 06:38:00 PM,County,DALEWOOD DR,County,GOODHILL RD,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,E7B69922-919A-4156-95C6-82B9C29F7536,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,NO APPARENT INJURY,NONE,39.056985,-77.069705,"(39.056985, -77.069705)"
DD55200022,230029906,Rockville Police Departme,Injury Crash,06/22/2023 10:05:00 AM,Maryland (State),ROCKVILLE PIKE,Unknown,ENT TO WOODMONT COUNTRY CLUB,,N/A,PEDESTRIAN,OTHER,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A2789456-1761-430F-841B-ABC4DF4EDD3A,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes,POSSIBLE INJURY,NONE,39.06943262,-77.13072958,"(39.06943262, -77.13072958)"
MCP2512001P,16002674,Montgomery County Police,Injury Crash,01/14/2016 07:30:00 PM,County,DIAMONDBACK DR,County,DECOVERLY DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,3F5CD53C-89DB-4308-BE4C-8F57483246CD,PEDESTRIAN,Cross/Enter not at Intersection,INATTENTIVE,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,N/A,39.10961716,-77.20786929,"(39.10961716, -77.20786929)"
MCP297700BR,230007853,Montgomery County Police,Injury Crash,02/16/2023 12:06:00 PM,County,BURNT MILLS AVE,County,CHILDS ST,,N/A,PEDESTRIAN,OTHER,CLOUDY,WET,DAYLIGHT,STOP SIGN,N/A,NONE DETECTED,B12C7734-BB13-4100-B0D6-FF37340F2769,PEDESTRIAN,Walking/Riding against Traffic,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.03697667,-77.00340167,"(39.03697667, -77.00340167)"
MCP33020008,210031516,Montgomery County Police,Injury Crash,08/13/2021 05:51:00 PM,County,RANDOLPH RD,County,SHERWOOD FOREST DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,6B5D8E0F-5244-443A-ACCB-0F40790E0819,PEDESTRIAN,Cross/Enter at Intersection,DART DASH,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.07321171,-77.00832942,"(39.07321171, -77.00832942)"
MCP30050055,200036016,Montgomery County Police,Injury Crash,09/14/2020 02:30:00 PM,County,ARCOLA AVE,County,KENBROOK DR,,N/A,MACHINE OPERATOR/RIDER,SINGLE VEHICLE,N/A,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,3E7F388C-5CE8-4632-90B2-9B75BA84E568,MACHINE OPERATOR/RIDER,Cross/Enter at Intersection,N/A,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.03915333,-77.027725,"(39.03915333, -77.027725)"
MCP2879000R,15029216,Montgomery County Police,Injury Crash,06/13/2015 12:00:00 PM,County,RIFFLE FORD RD,County,RIFFLE FORD CT,,N/A,BICYCLIST,OTHER,N/A,UNKNOWN,DAYLIGHT,STOP SIGN,UNKNOWN,UNKNOWN,2122ED64-BC3F-417C-A534-B1DAE4C55068,BICYCLIST,Unknown,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,MIXED CLOTHING,,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.12073008,-77.26696372,"(39.12073008, -77.26696372)"
MCP20540005,15057210,MONTGOMERY,Injury Crash,11/09/2015 09:30:00 PM,County,TECH RD,County,BROADBIRCH DR,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK NO LIGHTS,STOP SIGN,NONE DETECTED,NONE DETECTED,7B7B5AA6-21AF-499A-BE8D-361A1B6E9A15,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No,POSSIBLE INJURY,NONE,39.05590918,-76.96655363,"(39.05590918, -76.96655363)"
MCP2695000J,16024315,Montgomery County Police,Injury Crash,05/16/2016 02:43:00 PM,US (State),COLUMBIA PIKE,County,MUSGROVE RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,N/A,301C1A61-5816-46F8-A25B-EE83F8A967C8,PEDESTRIAN,Standing,OTHER,DRIVEWAY ACCESS MARKED CROSSWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,39.06766051,-76.95820525,"(39.06766051, -76.95820525)"
MCP2563000M,170529091,Montgomery County Police,Fatal Crash,09/06/2017 09:43:00 PM,Maryland (State),VEIRS MILL RD,County,NORRIS DR,,N/A,OTHER CONVEYANCE,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,UNKNOWN,F51A769D-D703-40C1-8400-E2368770C0EC,OTHER CONVEYANCE,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,FATAL INJURY,MC/BIKE HELMET,39.04391833,-77.063205,"(39.04391833, -77.063205)"
MCP2635002C,15042668,MONTGOMERY,Injury Crash,08/25/2015 06:19:00 PM,Maryland (State),DAMASCUS RD,County,SUNDOWN RD,,N/A,BICYCLIST,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,N/A,805B5A5A-B285-462C-AD0D-1BC498E414E3,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,SHOULDER,NO PED. SIGNAL,LIGHT CLOTHING,No,POSSIBLE INJURY,MC/BIKE HELMET,39.22647833,-77.06983667,"(39.22647833, -77.06983667)"
MCP29640025,170517510,Montgomery County Police,Injury Crash,07/05/2017 08:11:00 PM,County,FATHER HURLEY BLVD,Unknown,TRIMFIELD LA,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAWN,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,A63BFFB4-B388-428F-ABA9-AF55BF2D05D8,BICYCLIST,Walking/Cycling on Sidewalk,NOT VISIBLE,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.18630738,-77.2735633,"(39.18630738, -77.2735633)"
MCP0942000T,16036684,Montgomery County Police,Injury Crash,07/20/2016 09:48:00 AM,Government,CENTER DR,Maryland (State),ROCKVILLE PIKE,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,D3823BF6-9827-4C54-AA46-998866E62264,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,38.996685,-77.096815,"(38.996685, -77.096815)"
EJ7858007W,23003339,Gaithersburg Police Depar,Injury Crash,07/13/2023 10:35:00 AM,Maryland (State),FREDERICK RD,Unknown,WATKINS MILL RD,,N/A,BICYCLIST,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,UNKNOWN,NONE DETECTED,025FAB54-6097-4D3B-925B-4B2587534FD2,BICYCLIST,Walking/Riding w/Traffic,N/A,ON ROADWAY NOT AT CROSSWALK,N/A,UNKNOWN,No,POSSIBLE INJURY,MC/BIKE HELMET,39.15697668,-77.22112836,"(39.15697668, -77.22112836)"
MCP13890026,190013061,Montgomery County Police,Injury Crash,03/21/2019 03:15:00 PM,County,STEDWICK RD,County,MONTGOMERY VILLAGE AVE,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,21A2D781-EB9C-4578-A49F-EEE6B2B2D841,BICYCLIST,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,OUTSIDE RIGHT OF WAY,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.16996671,-77.20606495,"(39.16996671, -77.20606495)"
MCP20550014,16033258,Montgomery County Police,Injury Crash,06/30/2016 10:00:00 PM,County,SHADY GROVE RD,Municipality,GAITHER RD,,ROCKVILLE,PEDESTRIAN,OTHER,CLEAR,DRY,DARK NO LIGHTS,UNKNOWN,UNKNOWN,N/A,55684B05-2FF8-4920-8884-75F762BD3969,PEDESTRIAN,Unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,SUSPECTED MINOR INJURY,NONE,39.11741719,-77.18395472,"(39.11741719, -77.18395472)"
EJ7894002R,230019019,Gaithersburg Police Depar,Injury Crash,04/21/2023 10:25:00 AM,,,,,"880 RUSSELL AVE, GAITHERSBURG, MD, 20879",,PEDESTRIAN,OTHER,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,NONE DETECTED,89548A72-3770-465A-B0FA-F5DBA68E3E52,PEDESTRIAN,Unknown,UNKNOWN,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.1568452,-77.21297352,"(39.1568452, -77.21297352)"
MCP2689009L,230024062,Montgomery County Police,Injury Crash,05/19/2023 02:41:00 PM,County,TUCKERMAN LA,County,GAINSBOROUGH RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,84D09930-BD56-4985-B208-9A5D18A7FC8F,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,39.0408405,-77.1747445,"(39.0408405, -77.1747445)"
MCP27660049,180058256,Montgomery County Police,Injury Crash,11/20/2018 05:35:00 PM,County,RIPPLING BROOK DR,County,BEL PRE RD,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,NONE DETECTED,912997DA-3E49-4395-AA76-714DAE36AC70,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No,POSSIBLE INJURY,NONE,39.09036167,-77.053115,"(39.09036167, -77.053115)"
MCP9432002S,200034713,Montgomery County Police,Injury Crash,09/04/2020 07:00:00 PM,,GODWIT STREET,,MERLIN AVENUE,,N/A,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DUSK,NO CONTROLS,UNKNOWN,NONE DETECTED,B35B0E44-5B7D-468B-88B9-F2647DC5DE27,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,MC/BIKE HELMET,39.21974833,-77.29039,"(39.21974833, -77.29039)"
MCP2757000L,15022185,Montgomery County Police,Injury Crash,05/09/2015 10:07:00 PM,Maryland (State),VEIRS MILL RD,County,CLARIDGE RD,,N/A,BICYCLIST,HEAD ON LEFT TURN,N/A,N/A,DARK LIGHTS ON,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,6C76793C-A639-4B42-B5A0-994C4FB0983D,BICYCLIST,Cross/Enter at Intersection,FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,MIXED CLOTHING,,SUSPECTED MINOR INJURY,NONE,39.04842167,-77.06903167,"(39.04842167, -77.06903167)"
MCP3080002K,200012073,Montgomery County Police,Injury Crash,03/12/2020 06:31:00 PM,County,MIDDLEBROOK RD,County,CRYSTAL ROCK DR,,N/A,BICYCLIST,N/A,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,N/A,FCCD6E79-8D0A-4FE4-B215-75E1CBA68449,BICYCLIST,Cross/Enter at Intersection,N/A,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,UNKNOWN,No,POSSIBLE INJURY,NONE,39.17686072,-77.26440422,"(39.17686072, -77.26440422)"
EJ7854002Q,180064002,Gaithersburg Police Depar,Injury Crash,12/22/2018 12:27:00 PM,,,,,880 RUSSELL AVE GAITHERSBURG MD PARKING LOT( COSTCO),,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,NO CONTROLS,N/A,NONE DETECTED,E515D529-A666-4209-BF16-A6CCBF55D7F8,PEDESTRIAN,Getting off/on Vehicle,NO IMPROPER ACTIONS,OTHER,N/A,LIGHT CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.15531,-77.21383667,"(39.15531, -77.21383667)"
MCP24460024,16042471,Montgomery County Police,Injury Crash,08/21/2016 03:21:00 PM,,,,,IN FRONT OF 19603 CRYSTAL ROCK DR.,,BICYCLIST,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,CBC79EDA-C7CD-4FD5-8DE4-F64B83347980,BICYCLIST,Playing,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED MINOR INJURY,UNKNOWN,39.178009,-77.259878,"(39.178009, -77.259878)"
MCP09420015,170504129,Montgomery County Police,Injury Crash,04/25/2017 02:54:00 PM,,,,,6930 ARLINGTON RD-BRADLEY SHOPPING CENTER,,PEDESTRIAN,OTHER,RAINING,,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,58C7F0A1-6799-4FC4-80E3-AFDB4300F3AA,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,NONE,38.9795885,-77.09880167,"(38.9795885, -77.09880167)"
MCP2902005K,220043563,Montgomery County Police,Injury Crash,10/06/2022 07:34:00 AM,Maryland (State),CLOPPER RD,County,RICHTER FARM RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,N/A,N/A,E56BAB2E-2E51-4FD4-8727-8B069B20B1F1,BICYCLIST,Cross/Enter at Intersection,UNKNOWN,N/A,OTHER,LIGHT CLOTHING,Unknown,SUSPECTED MINOR INJURY,NONE,39.169965,-77.29678833,"(39.169965, -77.29678833)"
EJ7863000J,16051956,Gaithersburg Police Depar,Injury Crash,10/09/2016 05:51:00 PM,Maryland (State),GREAT SENECA HWY,Maryland (State),QUINCE ORCHARD RD,,N/A,BICYCLIST,OTHER,CLEAR,DRY,N/A,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,3354E04E-FEF9-4D97-A44F-718538A79466,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.12861167,-77.23781167,"(39.12861167, -77.23781167)"
MCP3039004G,190045636,Montgomery County Police,Injury Crash,09/23/2019 07:30:00 PM,,,,,SIDEWALK AT 8100 BLOCK OF GEORGIA AVENUE,,"BICYCLIST, PEDESTRIAN",SAME DIR REAR END,CLEAR,,DARK LIGHTS ON,NO CONTROLS,,NONE DETECTED,3D3BE0F3-D1F6-4781-87E9-DC7B4A5C7597,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,N/A,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.99117,-77.02694,"(38.99117, -77.02694)"
DD5603004V,170541834,Rockville Police Departme,Injury Crash,11/09/2017 11:35:00 AM,Municipality,MT VERNON PL,Municipality,BLANDFORD ST,,ROCKVILLE,PEDESTRIAN,OTHER,RAINING,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,1679AEE1-40D1-44AF-B628-AF00BE578A9D,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,SIDEWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.99753833,-77.10968667,"(38.99753833, -77.10968667)"
MCP3218001R,210026879,Montgomery County Police,Injury Crash,07/12/2021 07:22:00 PM,Maryland (State),GEORGIA AVE,County,RANDOLPH RD,,N/A,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,NONE DETECTED,E792B15C-FBD7-42C9-8026-3E8111B9474F,PEDESTRIAN,Cross/Enter not at Intersection,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,UNKNOWN,DARK CLOTHING,Unknown,SUSPECTED SERIOUS INJURY,NONE,39.05770717,-77.050085,"(39.05770717, -77.050085)"
MCP2680002C,180010844,Montgomery County Police,Injury Crash,03/02/2018 08:38:00 PM,Maryland (State),EAST WEST HWY,Other Public Roadway,W FALKLAND LA,,N/A,PEDESTRIAN,SAME DIRECTION SIDESWIPE,SEVERE WINDS,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,510BFEE9-006E-41B8-A0D9-9DAD55175D33,PEDESTRIAN,Other,FAILURE TO YIELD RIGHT OF WAY,SHOULDER,NO PED. SIGNAL,DARK CLOTHING,Yes,SUSPECTED MINOR INJURY,NONE,38.99265167,-77.031735,"(38.99265167, -77.031735)"
MCP27940015,15053515,MONTGOMERY,Injury Crash,10/21/2015 10:13:00 PM,County,WOODMONT AVE,County,BATTERY LA,,N/A,PEDESTRIAN,OTHER,N/A,DRY,DARK NO LIGHTS,TRAFFIC SIGNAL,N/A,NONE DETECTED,B144BFE0-C830-428A-99D3-10C08ABCCC00,PEDESTRIAN,N/A,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,38.99270484,-77.09711552,"(38.99270484, -77.09711552)"
MCP2936003X,200030698,Montgomery County Police,Injury Crash,08/07/2020 04:22:00 PM,,,,,"SIDEWALK/PARKING LOT OF 11790 PARKLAWN DR ROCKVILLE, MD 20852",,PEDESTRIAN,OTHER,N/A,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,32E886BE-97E7-445B-82CD-BAA099CDA45A,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No,SUSPECTED MINOR INJURY,N/A,39.04858,-77.0993,"(39.04858, -77.0993)"
MCP22860025,180035634,Montgomery County Police,Injury Crash,07/18/2018 09:20:00 AM,Municipality,E JEFFERSON ST,Municipality,ROLLINS AVE,,ROCKVILLE,PEDESTRIAN,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,NONE DETECTED,06435A6C-D0BD-4D7A-9A65-61195B335A1F,PEDESTRIAN,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes,SUSPECTED SERIOUS INJURY,NONE,39.05985667,-77.125865,"(39.05985667, -77.125865)"
